applicantId,state,gender,age,race,marital_status,occupation,credit_score,income,debts,loan_type,loan_decision_type
0GOFM7P5XZ,NM,Female,25,Asian,Married,NYPD,743,6704.416667,1700,Auto,Approved
0GTQ7M3NJA,UT,Male,27,Black or African American,Married,Business,560,7343.583333,1300,Home,Denied
0GU7T5FF23,NM,Male,44,Black or African American,Married,Accout,700,6210.25,1000,Home,Approved
0H8I3ROWLC,IA,Male,60,American Indian or Alaska Native,Divorced,IT,570,14621.91667,5000,Credit,Denied
0HBUMFTJZA,AL,Male,38,No co-applicant,Divorced,IT,550,9732.083333,2500,Home,Denied
0HQM3W1DSY,MA,Male,58,American Indian or Alaska Native,Married,Accout,580,7046.833333,1800,Credit,Approved
0K2ST3CRWU,SC,Male,54,White,Single,Accout,770,6869.333333,1500,Credit,Approved
0K4EKP528G,MD,Male,40,White,Married,Manager,720,11737.5,5021.1,Auto,Denied
0K4EKP528G,MD,Male,40,White,Married,Manager,720,11737.5,3500,Personal,Approved
0M0CO8RQ2L,KY,Male,56,White,Divorced,Accout,710,6955.166667,3000,Auto,Denied
0M2KI1LFAV,NV,Female,23,White,Single,IT,780,6037.75,800,Personal,Approved
0M2KI1LFAV,NV,Female,23,White,Single,IT,780,6037.75,1813.82,Credit,Approved
0M7GC1AF85,MO,Male,37,Asian,Divorced,IT,690,9563,1500,Personal,Approved
0NCA5KWYAA,OH,Male,22,American Indian or Alaska Native,Single,Business,690,5701.916667,1179.58,Auto,Approved
0NCA5KWYAA,OH,Male,22,American Indian or Alaska Native,Single,Business,680,5701.916667,600,Credit,Approved
0O4RS7BSQD,VA,Male,19,No co-applicant,Married,NYPD,623,4271.666667,1000,Auto,Approved
0OY52B3P0C,FL,Male,59,American Indian or Alaska Native,Divorced,Manager,800,14871.33333,4500,Personal,Approved
0OY52B3P0C,FL,Male,59,American Indian or Alaska Native,Divorced,Manager,810,14871.33333,5338.12,Credit,Approved
0PHJ9Q7W6M,IN,Male,37,Native Hawaiian or Other Pacific Islander,Divorced,Accout,767,5602.583333,2956,Personal,Denied
0PMT12MM1Y,TX,Male,49,American Indian or Alaska Native,Single,Accout,710,6651.916667,3500,Home,Withdrawn
0Q0I6UZNDB,IL,Male,38,American Indian or Alaska Native,Divorced,NYPD,743,9704.166667,2000,Home,Approved
0QEPZ19IAR,OK,Male,19,No co-applicant,Single,IT,668,4398.5,1500,Personal,Withdrawn
0QLDF9NLE7,NJ,Male,37,Not applicable,Single,IT,570,9543.583333,4500,Auto,Denied
0QSRPZOPG7,MI,Male,28,Not applicable,Single,NYPD,605,7676.916667,1300,Home,Withdrawn
0R56J83EX6,IL,Male,32,White,Divorced,NYPD,650,8731.666667,3500,Auto,Denied
0RW59JLVR4,TX,Male,27,White,Married,Accout,690,4769.25,2100,Auto,Denied
0SPEEALBHU,AL,Male,26,American Indian or Alaska Native,Divorced,NYPD,550,7051.666667,1800,Home,Denied
0T9V228F6Z,IL,Female,43,Not applicable,Divorced,Manager,550,12210.25,4200,Auto,Denied
0TGK6ISRCW,SC,Female,20,Black or African American,Married,NYPD,782,5010.25,800,Credit,Approved
0TOYTGHGH1,AR,Male,29,Not applicable,Married,NYPD,650,8037.75,900,Auto,Approved
0TOYTGHGH1,AR,Male,29,Not applicable,Married,NYPD,660,8037.75,1738.12,Personal,Approved
0TUOIRB8T1,PA,Male,70,Asian,Divorced,Manager,810,16758.33333,6122.26,Credit,Approved
0TUOIRB8T1,PA,Male,70,Asian,Divorced,Manager,800,16758.33333,4500,Auto,Approved
0TUOIRB8T1,PA,Male,70,Asian,Divorced,Manager,805,16758.33333,5513.82,Personal,Approved
0U0WN7OV1A,NY,Male,19,Not applicable,Married,IT,617,4593.583333,1300,Auto,Withdrawn
0UKXYUG36R,CA,Male,54,Asian,Divorced,Manager,692,14037.66667,5000,Auto,Withdrawn
0UP8NLREHN,MI,Male,36,American Indian or Alaska Native,Married,Manager,720,10408,4207.45,Personal,Denied
0UP8NLREHN,MI,Male,36,American Indian or Alaska Native,Married,Manager,720,10408,1600,Home,Approved
0USFDP749G,CA,Female,44,No co-applicant,Married,Business,730,11061.75,3000,Personal,Approved
0VGXAYF1B0,PA,Male,26,Black or African American,Married,Business,740,7046.916667,2000,Personal,Approved
0VNIYG5S9A,AK,Male,19,Black or African American,Single,Accout,824,4043.583333,500,Personal,Approved
0WMFF9YY4N,MA,Female,49,American Indian or Alaska Native,Married,Manager,740,13230.16667,6197.31,Personal,Denied
0WMFF9YY4N,MA,Female,49,American Indian or Alaska Native,Married,Manager,740,13230.16667,5000,Auto,Approved
0X3XQ3A3XS,VA,Male,21,Black or African American,Divorced,NYPD,650,5343.583333,800,Home,Withdrawn
0X5WU8CMF1,WI,Female,31,No co-applicant,Single,NYPD,791,8538,1200,Auto,Approved
0X764U8V1I,OK,Male,38,American Indian or Alaska Native,Married,NYPD,700,9731.666667,1800,Home,Withdrawn
0X7IR0GX8E,CO,Male,31,No co-applicant,Single,NYPD,690,8526,1000,Auto,Approved
0X7IR0GX8E,CO,Male,31,No co-applicant,Single,NYPD,773,8526,1838.12,Personal,Approved
0XVTVT6HRF,NM,Male,31,Black or African American,Married,IT,570,8571.833333,1300,Auto,Denied
0YI3QTPD1H,SC,Male,30,White,Single,NYPD,719,8352.583333,1300,Personal,Approved
0YMWVE9O2R,OR,Male,35,No co-applicant,Single,NYPD,590,9204.666667,1500,Personal,Approved
0ZCPZKFUQV,WA,Male,28,American Indian or Alaska Native,Married,NYPD,644,7704.166667,1200,Home,Withdrawn
0ZU0HE9ARJ,WA,Male,37,No co-applicant,Married,Accout,700,5623.5,2500,Auto,Denied
129QS9RID7,OK,Male,38,American Indian or Alaska Native,Single,IT,700,9729.416667,3000,Home,Approved
129QS9RID7,OK,Male,38,American Indian or Alaska Native,Single,IT,710,9729.416667,5234.95,Auto,Denied
14MIG4FH0A,OR,Male,45,No co-applicant,Single,Business,560,11267.5,3500,Home,Denied
1628PTBQ8R,CA,Female,33,Asian,Divorced,IT,690,8899.083333,3000,Personal,Approved
163PPIF5X4,KS,Male,41,American Indian or Alaska Native,Married,IT,700,10321.83333,4500,Home,Denied
16BI6C17EZ,KY,Female,42,No co-applicant,Married,IT,690,10563,1500,Auto,Approved
16KXX7QN2L,CA,Male,61,American Indian or Alaska Native,Married,Manager,695,15220,4600,Credit,Approved
171H2QZS0E,TX,Male,20,Asian,Married,Accout,698,4226.916667,2000,Auto,Denied
17KOPZ9JMG,OH,Male,28,White,Single,Business,690,7704.666667,1000,Auto,Approved
17KOPZ9JMG,OH,Male,28,White,Single,Business,695,7704.666667,1912.66,Home,Withdrawn
17LD4K324O,AK,Male,58,White,Single,Manager,728,14701.91667,4000,Credit,Approved
17LD4K324O,AK,Male,58,White,Single,Manager,452,14701.91667,5318.04,Personal,Approved
17LD4K324O,AK,Male,58,White,Single,Manager,659,14701.91667,4304.22,Auto,Approved
189Z9CY6VK,CA,Male,70,Not applicable,Married,IT,719,16676.91667,7754.86,Personal,Denied
189Z9CY6VK,CA,Male,70,Not applicable,Married,IT,686,16676.91667,6000,Personal,Approved
